construct	displayProcedureName	gene	genotype	parameterId	parameterName	procedureName	sex	significanceValue	mgiAccessionId
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_072_001	CD4+ T helper cells - % of CD45+	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_091_001	Effector NK cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_007_001	KLRG1+ CD4+ T helper cells - % of CD4+ T helper cells	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_065_001	CD4+ T helper cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Homozygous viability at P14	Pth	Mutant	IMPC_VIA_001_001	Outcome	Viability Primary Screen	Both	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_070_001	Effector Treg cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_092_001	Resting NK cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_020_001	Effector gd T cells - % of gd T cells	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Ear Epidermis	Pth	Hom	MGP_EEI_007_001	Langerhans cell (LC) count	Ear epidermis immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_029_001	Resting CD4+ NKT cells - % of CD4+ NKT cells	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_025_001	Resting CD4- NKT cells - % of CD4- NKT cells	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Peripheral Blood Leukocytes	Pth	Hom	MGP_BCI_005_001	NK cell percentage	Buffy coat peripheral blood leukocyte immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_074_001	Effector CD8+ T cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_078_001	Resting Treg cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_004_001	CD4+ T helper cells - % of CD4+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_078_001	Total gd T cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Haematology	Pth	Hom	IMPC_HEM_005_001	Mean cell volume	Haematology	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_030_001	KLRG1+ CD4+ NKT cells - % of CD4+ NKT cells	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_031_001	Total NK cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_025_001	Total CD4- NKT cells - % of NKT cells	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_012_001	KLRG1+ Treg cells - % of Treg	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_075_001	Resting CD8+ T cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Salmonella Challenge	Pth	Hom	SLM_SLM_016_001	Pre-Day 1 Death	Salmonella Challenge	Both	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_009_001	Effector Treg cells - % of Treg	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Ear Epidermis	Pth	Hom	MGP_EEI_003_001	Vg5+ dendritic epidermal T cell (DETC) count	Ear epidermis immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_093_001	KLRG1+ NK cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_034_001	Effector NK cells - % of NK cells	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_074_001	Effector CD8+ T cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_012_001	Total CD8+ T cells - % of ab T cells	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_016_001	Naive CD8+ T cells - % of CD8+	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_083_001	Naive CD8+ T cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_087_001	Total CD4+ NKT cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_029_001	Total CD4+ NKT cells - % of NKT cells	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_007_001	Resting CD4+ T helper cells - % of CD4+ T helper cells	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_070_001	Total ab T cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_092_001	Effector CD4- NKT cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_021_001	KLRG1+ gd T cells - % of gd T cells	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Haematology	Pth	Hom	IMPC_HEM_001_001	White blood cell count	Haematology	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_029_001	Total CD4+ NKT cells - % of NKT cells	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_022_001	Total NKT cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_066_001	Effector CD4+ T helper cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Peripheral Blood Leukocytes	Pth	Hom	MGP_BCI_004_001	T cell CD8+ percentage	Buffy coat peripheral blood leukocyte immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_003_001	Total ab T cells - % of total T cells	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Haematology	Pth	Hom	IMPC_HEM_027_001	Red blood cell distribution width	Haematology	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_016_001	Naive CD8+ T cells - % of CD8+	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Peripheral Blood Leukocytes	Pth	Hom	MGP_BCI_008_001	CD8+CD44+CD62L- percentage	Buffy coat peripheral blood leukocyte immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_088_001	Effector CD4+ NKT cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_070_001	Effector Treg cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_084_001	Effector CD4- NKT cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_083_001	Total CD4- NKT cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Peripheral Blood Leukocytes	Pth	Hom	MGP_BCI_010_001	Mature B cell IgD+ percentage	Buffy coat peripheral blood leukocyte immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_025_001	Total CD4- NKT cells - % of NKT cells	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_074_001	Resting CD4+ T helper cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_077_001	Effector Treg cells - % of CD45+	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_003_001	Total CD4+ T cells - % of ab T cells	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Peripheral Blood Leukocytes	Pth	Hom	MGP_BCI_002_001	T cell CD4+ percentage	Buffy coat peripheral blood leukocyte immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_095_001	Total CD4+ NKT cells - % of CD45+	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_017_001	Total gd T cells - % of total T cells	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_005_001	Effector CD4+ T helper cells - % of CD4+ T helper cells	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_088_001	Resting gd T cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_030_001	Effector CD4+ NKT cells - % of CD4+ NKT cells	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_080_001	Effector gd cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_030_001	Effector CD4+ NKT cells - % of CD4+ NKT cells	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_008_001	KLRG1+ CD4+ T helper cells - % of CD4+ T helper cells	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Anti-nuclear Antibodies	Pth	Hom	MGP_ANA_001_001	ANA score	Anti-nuclear antibody assay	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Haematology	Pth	Hom	IMPC_HEM_008_001	Platelets count	Haematology	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Haematology	Pth	Hom	IMPC_HEM_004_001	Hematocrit	Haematology	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_027_001	Total CD4+ NKT cells - % of NKT cells	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_012_001	KLRG1+ Treg cells - % of Treg	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_066_001	Effector CD4+ T helper cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_092_001	Resting NK cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_073_001	Effector CD4+ T helper cells - % of CD45+	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Peripheral Blood Leukocytes	Pth	Hom	MGP_BCI_006_001	NKT cell percentage	Buffy coat peripheral blood leukocyte immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_097_001	Resting CD4+ NKT cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_034_001	Effector NK cells - % of NK cells	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_026_001	KLRG1+ CD4- NKT cells - % of CD4- NKT cells	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_079_001	KLRG1+ Treg cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_021_001	Resting gd T cells - % of gd T cells	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_099_001	Effector NK cells - % of CD45+	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_014_001	Resting CD8+ T cells - % of CD8+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_008_001	Total Treg cells - % of CD4+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_088_001	Effector CD4+ NKT cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Ear Epidermis	Pth	Hom	MGP_EEI_008_001	Ratio of vg5+ DETC/LC	Ear epidermis immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_071_001	Resting Treg cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_021_001	Resting gd T cells - % of gd T cells	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_001_001	Total T cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_003_001	Total ab T cells - % of total T cells	Spleen Immuno Phenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_075_001	Resting CD8+ T cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Spleen	Pth	Hom	MGP_IMM_082_001	Resting CD8+ T cells - % of CD45+	Spleen Immuno Phenotyping	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_031_001	Total NK cells - % of CD45+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
tm1a(EUCOMM)Wtsi	Haematology	Pth	Hom	IMPC_HEM_019_001	Mean platelet volume	Haematology	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Haematology	Pth	Hom	IMPC_HEM_006_001	Mean corpuscular hemoglobin	Haematology	Female	2	MGI:97799
tm1a(EUCOMM)Wtsi	Mesenteric Lymph Node	Pth	Hom	MGP_MLN_013_001	Effector CD8+ T cells - % of CD8+	Mesenteric Lymph Node Immunophenotyping	Male	2	MGI:97799
