construct	parameterName	genotype	parameterId	procedureName	mgiAccessionId	displayProcedureName	significanceValue	sex
(tm1)Brd	Effector Treg cells - % of CD45+	Hom	MGP_MLN_070_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Effector Treg cells - % of CD45+	Hom	MGP_MLN_070_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Effector Treg cells - % of Treg	Hom	MGP_MLN_009_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Effector Treg cells - % of Treg	Hom	MGP_MLN_009_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Eosinophils - % of CD45+	Hom	MGP_MLN_113_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Eosinophils - % of CD45+	Hom	MGP_MLN_113_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Follicular B cells - % of B2 cells	Hom	MGP_MLN_042_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Follicular B cells - % of B2 cells	Hom	MGP_MLN_042_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Follicular B cells - % of CD45+	Hom	MGP_MLN_100_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Follicular B cells - % of CD45+	Hom	MGP_MLN_100_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Germinal centre B cells - % of B2 cells	Hom	MGP_MLN_043_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Germinal centre B cells - % of B2 cells	Hom	MGP_MLN_043_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Germinal centre B cells - % of CD45+	Hom	MGP_MLN_101_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Germinal centre B cells - % of CD45+	Hom	MGP_MLN_101_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Granulocytes - % of CD45+	Hom	MGP_MLN_111_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Granulocytes - % of CD45+	Hom	MGP_MLN_111_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	KLRG1+ CD4- NKT cells - % of CD4- NKT cells	Hom	MGP_MLN_026_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	KLRG1+ CD4- NKT cells - % of CD4- NKT cells	Hom	MGP_MLN_026_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	KLRG1+ CD4- NKT cells - % of CD45+	Hom	MGP_MLN_086_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	KLRG1+ CD4- NKT cells - % of CD45+	Hom	MGP_MLN_086_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	KLRG1+ CD4+ NKT cells - % of CD4+ NKT cells	Hom	MGP_MLN_030_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	KLRG1+ CD4+ NKT cells - % of CD4+ NKT cells	Hom	MGP_MLN_030_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	KLRG1+ CD4+ NKT cells - % of CD45+	Hom	MGP_MLN_090_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	KLRG1+ CD4+ NKT cells - % of CD45+	Hom	MGP_MLN_090_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	KLRG1+ CD4+ T helper cells - % of CD4+ T helper cells	Hom	MGP_MLN_007_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	KLRG1+ CD4+ T helper cells - % of CD4+ T helper cells	Hom	MGP_MLN_007_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	KLRG1+ CD4+ T helper cells - % of CD45+	Hom	MGP_MLN_068_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	KLRG1+ CD4+ T helper cells - % of CD45+	Hom	MGP_MLN_068_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	KLRG1+ CD8+ T cells - % of CD45+	Hom	MGP_MLN_077_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	KLRG1+ CD8+ T cells - % of CD45+	Hom	MGP_MLN_077_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	KLRG1+ CD8+ T cells - % of CD8+	Hom	MGP_MLN_016_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	KLRG1+ CD8+ T cells - % of CD8+	Hom	MGP_MLN_016_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	KLRG1+ gd T cells - % of CD45+	Hom	MGP_MLN_082_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	KLRG1+ gd T cells - % of CD45+	Hom	MGP_MLN_082_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	KLRG1+ gd T cells - % of gd T cells	Hom	MGP_MLN_021_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	KLRG1+ gd T cells - % of gd T cells	Hom	MGP_MLN_021_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	KLRG1+ NK cells - % of CD45+	Hom	MGP_MLN_093_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	KLRG1+ NK cells - % of CD45+	Hom	MGP_MLN_093_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	KLRG1+ NK cells - % of NK cells	Hom	MGP_MLN_034_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	KLRG1+ NK cells - % of NK cells	Hom	MGP_MLN_034_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	KLRG1+ Treg cells - % of CD45+	Hom	MGP_MLN_072_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	KLRG1+ Treg cells - % of CD45+	Hom	MGP_MLN_072_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	KLRG1+ Treg cells - % of Treg	Hom	MGP_MLN_011_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	KLRG1+ Treg cells - % of Treg	Hom	MGP_MLN_011_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Late germinal centre B cells - % of CD45+	Hom	MGP_MLN_103_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Late germinal centre B cells - % of CD45+	Hom	MGP_MLN_103_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Macrophages - % of CD45+	Hom	MGP_MLN_109_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Macrophages - % of CD45+	Hom	MGP_MLN_109_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Memory B cells - % of B2 cells	Hom	MGP_MLN_047_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Memory B cells - % of B2 cells	Hom	MGP_MLN_047_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Memory B cells - % of CD45+	Hom	MGP_MLN_105_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Memory B cells - % of CD45+	Hom	MGP_MLN_105_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Monocytes - % of CD45+	Hom	MGP_MLN_112_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Monocytes - % of CD45+	Hom	MGP_MLN_112_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Naive CD8+ T cells - % of CD45+	Hom	MGP_MLN_076_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Naive CD8+ T cells - % of CD45+	Hom	MGP_MLN_076_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Naive CD8+ T cells - % of CD8+	Hom	MGP_MLN_015_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Naive CD8+ T cells - % of CD8+	Hom	MGP_MLN_015_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Plasma cells - % of B2 cells	Hom	MGP_MLN_046_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Plasma cells - % of B2 cells	Hom	MGP_MLN_046_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Plasma cells - % of CD45+	Hom	MGP_MLN_104_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Plasma cells - % of CD45+	Hom	MGP_MLN_104_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Plasmacytoid DC - % of CD45+	Hom	MGP_MLN_115_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Plasmacytoid DC - % of CD45+	Hom	MGP_MLN_115_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Plasmacytoid DC - % of DC	Hom	MGP_MLN_058_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Plasmacytoid DC - % of DC	Hom	MGP_MLN_058_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Resting CD4- NKT cells - % of CD4- NKT cells	Hom	MGP_MLN_025_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Resting CD4- NKT cells - % of CD4- NKT cells	Hom	MGP_MLN_025_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Resting CD4- NKT cells - % of CD45+	Hom	MGP_MLN_085_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Resting CD4- NKT cells - % of CD45+	Hom	MGP_MLN_085_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Resting CD4+ NKT cells - % of CD45+	Hom	MGP_MLN_089_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Resting CD4+ NKT cells - % of CD45+	Hom	MGP_MLN_089_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Resting CD4+ T helper cells - % of CD4+ T helper cells	Hom	MGP_MLN_006_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Resting CD4+ T helper cells - % of CD4+ T helper cells	Hom	MGP_MLN_006_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Resting CD4+ T helper cells - % of CD45+	Hom	MGP_MLN_067_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Resting CD4+ T helper cells - % of CD45+	Hom	MGP_MLN_067_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Resting CD8+ T cells - % of CD45+	Hom	MGP_MLN_075_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Resting CD8+ T cells - % of CD45+	Hom	MGP_MLN_075_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Resting CD8+ T cells - % of CD8+	Hom	MGP_MLN_014_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Resting CD8+ T cells - % of CD8+	Hom	MGP_MLN_014_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Resting gd T cells - % of CD45+	Hom	MGP_MLN_081_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Resting gd T cells - % of CD45+	Hom	MGP_MLN_081_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Resting gd T cells - % of gd T cells	Hom	MGP_MLN_020_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Resting gd T cells - % of gd T cells	Hom	MGP_MLN_020_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Resting NK cells - % of CD45+	Hom	MGP_MLN_092_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Resting NK cells - % of CD45+	Hom	MGP_MLN_092_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Resting NK cells - % of NK cells	Hom	MGP_MLN_033_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Resting NK cells - % of NK cells	Hom	MGP_MLN_033_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Resting Treg cells - % of CD45+	Hom	MGP_MLN_071_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Resting Treg cells - % of CD45+	Hom	MGP_MLN_071_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Resting Treg cells - % of Treg	Hom	MGP_MLN_010_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Resting Treg cells - % of Treg	Hom	MGP_MLN_010_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Total ab T cells - % of CD45+	Hom	MGP_MLN_063_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Total ab T cells - % of CD45+	Hom	MGP_MLN_063_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Total B cells - % of CD45+	Hom	MGP_MLN_035_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Total B cells - % of CD45+	Hom	MGP_MLN_035_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Total B2 cells - % of CD45+	Hom	MGP_MLN_095_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Total B2 cells - % of CD45+	Hom	MGP_MLN_095_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Total CD4- NKT cells - % of CD45+	Hom	MGP_MLN_083_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Total CD4- NKT cells - % of CD45+	Hom	MGP_MLN_083_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Total CD4- NKT cells - % of NKT cells	Hom	MGP_MLN_023_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Total CD4- NKT cells - % of NKT cells	Hom	MGP_MLN_023_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Total CD4+ NKT cells - % of CD45+	Hom	MGP_MLN_087_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Total CD4+ NKT cells - % of CD45+	Hom	MGP_MLN_087_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Total CD4+ NKT cells - % of NKT cells	Hom	MGP_MLN_027_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Total CD4+ NKT cells - % of NKT cells	Hom	MGP_MLN_027_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Total CD4+ T cells - % of ab T cells	Hom	MGP_MLN_003_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	3	Male
(tm1)Brd	Total CD4+ T cells - % of ab T cells	Hom	MGP_MLN_003_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	3	Female
(tm1)Brd	Total CD4+ T cells - % of CD45+	Hom	MGP_MLN_064_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Total CD4+ T cells - % of CD45+	Hom	MGP_MLN_064_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Total CD8+ T cells - % of ab T cells	Hom	MGP_MLN_012_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	3	Male
(tm1)Brd	Total CD8+ T cells - % of ab T cells	Hom	MGP_MLN_012_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	3	Female
(tm1)Brd	Total CD8+ T cells - % of CD45+	Hom	MGP_MLN_073_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Total CD8+ T cells - % of CD45+	Hom	MGP_MLN_073_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Total DC - % of CD45+	Hom	MGP_MLN_114_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Total DC - % of CD45+	Hom	MGP_MLN_114_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Total gd T cells - % of CD45+	Hom	MGP_MLN_078_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Total gd T cells - % of CD45+	Hom	MGP_MLN_078_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Total NK cells - % of CD45+	Hom	MGP_MLN_031_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Total NK cells - % of CD45+	Hom	MGP_MLN_031_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Total NKT cells - % of CD45+	Hom	MGP_MLN_022_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Total NKT cells - % of CD45+	Hom	MGP_MLN_022_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Total T cells - % of CD45+	Hom	MGP_MLN_001_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Total T cells - % of CD45+	Hom	MGP_MLN_001_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Total Treg cells - % of CD4+	Hom	MGP_MLN_008_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Total Treg cells - % of CD4+	Hom	MGP_MLN_008_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Total Treg cells - % of CD45+	Hom	MGP_MLN_069_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Total Treg cells - % of CD45+	Hom	MGP_MLN_069_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Conventional CD11b type DC - % of cDC	Hom	MGP_MLN_060_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Conventional CD11b type DC - % of cDC	Hom	MGP_MLN_060_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Conventional CD8a type DC - % of CD45+	Hom	MGP_MLN_118_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Conventional CD8a type DC - % of CD45+	Hom	MGP_MLN_118_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
(tm1)Brd	Conventional CD8a type DC - % of cDC	Hom	MGP_MLN_061_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Male
(tm1)Brd	Conventional CD8a type DC - % of cDC	Hom	MGP_MLN_061_001	Mesenteric Lymph Node Immunophenotyping		Mesenteric Lymph Node	2	Female
